date,total
"Apr 12, 2025", 62
"Apr 13, 2025", 71
"Apr 14, 2025", 60.0
"Apr 15, 2025", 67
"Apr 16, 2025", 73
"Apr 17, 2025", 64
"Apr 18, 2025", 64
"Apr 19, 2025", 60
"Apr 20, 2025", 60
"Apr 21, 2025", 63
"Apr 22, 2025", 47
"Apr 23, 2025", 71
"Apr 24, 2025", 63
"Apr 25, 2025", 53
"Apr 26, 2025", 71
"Apr 27, 2025", 47
"Apr 28, 2025", 63
"Apr 29, 2025", 77
"Apr 30, 2025", 40
"May 01, 2025", 27
"May 02, 2025", 67
"May 03, 2025", 50
"May 04, 2025", 53
"May 05, 2025", 55
"May 06, 2025", 64
"May 07, 2025", 67
"May 08, 2025", 40
"May 09, 2025", 64
"May 10, 2025", 40
"May 11, 2025", 63
"May 12, 2025", 61
"May 13, 2025", 64
"May 14, 2025", 50
"May 15, 2025", 50
"May 16, 2025", 50
"May 17, 2025", 71
"May 18, 2025", 60
"May 19, 2025", 70
